Temperature,Rainfall,Humidity,Pressure,RainToday,RainTomorrow
10.7,0,5.35,2.675,No,1
9.85,3.6,6.725,5.1625,Yes,0
8.75,0,4.375,2.1875,No,0
12.55,0,6.275,3.1375,No,0
14.55,0,7.275,3.6375,No,1
12.15,2,7.075,4.5375,Yes,1
12.3,7,9.65,8.325,Yes,1
12.7,1.4,7.05,4.225,Yes,1
11.9,0,5.95,2.975,No,0
12.7,0,6.35,3.175,No,0
13.9,0,6.95,3.475,No,0
16.75,0,8.375,4.1875,No,0
17.95,0,8.975,4.4875,No,0
18.1,0,9.05,4.525,No,0
16,0,8,4,No,0
16.4,0,8.2,4.1,No,0
20.7,0,10.35,5.175,No,0
21.4,0,10.7,5.35,No,0
23.2,0,11.6,5.8,No,0
25.9,0,12.95,6.475,No,0
25.55,0,12.775,6.3875,No,0
16.6,0,8.3,4.15,No,0
19.35,0,9.675,4.8375,No,0
24.4,0,12.2,6.1,No,0
25.55,0,12.775,6.3875,No,0
26.55,0,13.275,6.6375,No,0
25.9,0,12.95,6.475,No,0
25.45,0,12.725,6.3625,No,0
24.4,0,12.2,6.1,No,0
26.75,0,13.375,6.6875,No,0
25.2,0,12.6,6.3,No,0
21.3,0,10.65,5.325,No,0
29.15,0,14.575,7.2875,No,0
26.75,0,13.375,6.6875,No,1
17.75,0.4,9.075,4.7375,No,0
19.3,0,9.65,4.825,No,0
25.05,0,12.525,6.2625,No,0
27.75,0,13.875,6.9375,No,1
21.05,10.2,15.625,12.9125,Yes,0
21.75,0,10.875,5.4375,No,1
17.55,9.4,13.475,11.4375,Yes,1
17.95,0,8.975,4.4875,No,0
18.8,0,9.4,4.7,No,0
21.45,0,10.725,5.3625,No,0
19.9,0,9.95,4.975,No,0
18.7,0,9.35,4.675,No,0
20.9,0,10.45,5.225,No,0
21.55,0,10.775,5.3875,No,1
17.3,1.2,9.25,5.225,Yes,0
20.8,0,10.4,5.2,No,0
15.9,1,8.45,4.725,No,0
22.8,0,11.4,5.7,No,0
26.6,0,13.3,6.65,No,0
27.4,0,13.7,6.85,No,1
19.3,3,11.15,7.075,Yes,0
20.15,0,10.075,5.0375,No,0
23.2,0,11.6,5.8,No,0
25.85,0,12.925,6.4625,No,0
28.15,0,14.075,7.0375,No,0
28.75,0,14.375,7.1875,No,1
23.55,9.8,16.675,13.2375,Yes,0
24.2,0,12.1,6.05,No,0
22.45,0,11.225,5.6125,No,0
27.3,0,13.65,6.825,No,0
28.3,0,14.15,7.075,No,0
27.15,0,13.575,6.7875,No,1
25.65,5,15.325,10.1625,Yes,1
20.95,0,10.475,5.2375,No,0
23.8,0,11.9,5.95,No,0
25.4,0,12.7,6.35,No,0
25.05,0,12.525,6.2625,No,0
24,0,12,6,No,0
26.9,0,13.45,6.725,No,0
29.7,0,14.85,7.425,No,0
31.6,0,15.8,7.9,No,0
33.45,0.2,16.825,8.5125,No,0
25.5,0.4,12.95,6.675,No,1
23.7,3,13.35,8.175,Yes,0
26.75,0,13.375,6.6875,No,0
29.2,0,14.6,7.3,No,0
16.55,0,8.275,4.1375,No,0
16.95,0,8.475,4.2375,No,0
21.95,0,10.975,5.4875,No,0
26.35,0,13.175,6.5875,No,0
30.5,0,15.25,7.625,No,0
30.05,0,15.025,7.5125,No,0
24.05,0,12.025,6.0125,No,0
25.05,0,12.525,6.2625,No,0
27.05,0,13.525,6.7625,No,0
24.8,0,12.4,6.2,No,0
27.7,0,13.85,6.925,No,0
29.6,0,14.8,7.4,No,1
26.05,8.6,17.325,12.9625,Yes,0
26.75,0,13.375,6.6875,No,0
22.65,52.2,37.425,44.8125,Yes,1
28.5,0,14.25,7.125,No,0
23.95,0,11.975,5.9875,No,0
25.4,0,12.7,6.35,No,0
22.3,0,11.15,5.575,No,0
23.35,0,11.675,5.8375,No,0
23.75,0,11.875,5.9375,No,0
27.15,0.6,13.875,7.2375,No,1
19.3,0.2,9.75,4.975,No,0
20.65,0,10.325,5.1625,No,0
23,0,11.5,5.75,No,0
7.55,0,3.775,1.8875,No,0
11.15,0,5.575,2.7875,No,1
20.6,5.8,13.2,9.5,Yes,1
21.8,66,43.9,54.95,Yes,1
17.8,0,8.9,4.45,No,0
18.6,0,9.3,4.65,No,0
19.25,0,9.625,4.8125,No,0
19.9,0,9.95,4.975,No,0
21.45,0,10.725,5.3625,No,0
23.15,0,11.575,5.7875,No,0
24.3,0,12.15,6.075,No,0
17.2,0,8.6,4.3,No,0
17.65,0,8.825,4.4125,No,0
19.65,0,9.825,4.9125,No,0
20.6,0,10.3,5.15,No,0
22.9,0,11.45,5.725,No,0
22.95,0,11.475,5.7375,No,1
22.25,11,16.625,13.8125,Yes,0
21.7,0.4,11.05,5.725,No,0
19.75,0,9.875,4.9375,No,0
18.7,0,9.35,4.675,No,0
17.55,0,8.775,4.3875,No,0
18.6,0,9.3,4.65,No,0
18.65,0,9.325,4.6625,No,0
17.8,0,8.9,4.45,No,0
17.65,0,8.825,4.4125,No,1
19.55,3,11.275,7.1375,Yes,1
16,0,8,4,No,0
16.35,0.2,8.275,4.2375,No,1
12.25,0,6.125,3.0625,No,0
13.5,0,6.75,3.375,No,0
16.2,0,8.1,4.05,No,0
16.95,0,8.475,4.2375,No,0
17.6,0,8.8,4.4,No,0
18.55,0,9.275,4.6375,No,0
18.5,0,9.25,4.625,No,0
19.9,0,9.95,4.975,No,0
19.35,0,9.675,4.8375,No,0
20.15,0,10.075,5.0375,No,1
11.6,0,5.8,2.9,No,1
13.5,1.6,7.55,4.575,Yes,0
14.1,0.4,7.25,3.825,No,0
12.35,0,6.175,3.0875,No,0
12.75,0,6.375,3.1875,No,0
14.9,0,7.45,3.725,No,0
16.65,0.2,8.425,4.3125,No,1
11.2,0,5.6,2.8,No,0
11.6,0,5.8,2.9,No,0
14.45,0,7.225,3.6125,No,0
12.6,0,6.3,3.15,No,0
12.4,0,6.2,3.1,No,0
8.1,0,4.05,2.025,No,0
9.05,0,4.525,2.2625,No,0
10.3,0,5.15,2.575,No,0
9.6,0,4.8,2.4,No,0
10.75,0,5.375,2.6875,No,0
10.65,0,5.325,2.6625,No,0
9.8,0,4.9,2.45,No,0
9.1,0,4.55,2.275,No,0
9.5,0,4.75,2.375,No,0
10.75,0,5.375,2.6875,No,1
13.7,13.4,13.55,13.475,Yes,0
11.7,0,5.85,2.925,No,1
14.5,5.8,10.15,7.975,Yes,0
14.9,0,7.45,3.725,No,0
10.4,0,5.2,2.6,No,0
11,0,5.5,2.75,No,0
10.55,0,5.275,2.6375,No,0
10.4,0,5.2,2.6,No,0
7.2,0,3.6,1.8,No,0
7.65,0,3.825,1.9125,No,0
6.85,0,3.425,1.7125,No,1
8.9,2.4,5.65,4.025,Yes,0
10.2,0,5.1,2.55,No,0
6.65,0,3.325,1.6625,No,0
5.6,0,2.8,1.4,No,0
11.8,11.6,11.7,11.65,Yes,1
11.05,1.8,6.425,4.1125,Yes,0
8.35,0,4.175,2.0875,No,0
8.75,0.4,4.575,2.4875,No,0
8.9,0,4.45,2.225,No,0
10.2,0,5.1,2.55,No,0
11.55,0,5.775,2.8875,No,1
6.25,0.2,3.225,1.7125,No,0
5.85,0,2.925,1.4625,No,0
7.45,0.2,3.825,2.0125,No,1
7.55,1.2,4.375,2.7875,Yes,0
5.55,0.2,2.875,1.5375,No,0
6.15,0,3.075,1.5375,No,0
6.95,0.2,3.575,1.8875,No,1
8.1,5.6,6.85,6.225,Yes,0
8.45,0.4,4.425,2.4125,No,0
8.8,0,4.4,2.2,No,1
9.9,0,4.95,2.475,No,1
8.1,21.4,14.75,18.075,Yes,1
7.8,11,9.4,10.2,Yes,0
5.55,0,2.775,1.3875,No,0
6.75,0,3.375,1.6875,No,1
9.25,1.6,5.425,3.5125,Yes,0
6.05,0.2,3.125,1.6625,No,0
7.9,0,3.95,1.975,No,0
7.8,0,3.9,1.95,No,0
8.4,0.2,4.3,2.25,No,0
10.3,6.2,8.25,7.225,Yes,0
11.9,0,5.95,2.975,No,1
8.8,4.2,6.5,5.35,Yes,1
8.45,0,4.225,2.1125,No,0
6.65,0.2,3.425,1.8125,No,0
6.25,0.2,3.225,1.7125,No,0
5.65,0,2.825,1.4125,No,0
7.9,0,3.95,1.975,No,1
10.2,7.2,8.7,7.95,Yes,1
8.8,8.2,8.5,8.35,Yes,1
9.7,10.8,10.25,10.525,Yes,0
8.3,0,4.15,2.075,No,0
8.1,0,4.05,2.025,No,1
9.1,10.2,9.65,9.925,Yes,1
5.55,3.8,4.675,4.2375,Yes,0
10.05,15.4,12.725,14.0625,Yes,1
8.1,2,5.05,3.525,Yes,0
9.6,0,4.8,2.4,No,0
8.7,0.2,4.45,2.325,No,0
8.45,0.2,4.325,2.2625,No,1
7.45,1.8,4.625,3.2125,Yes,1
10.1,4,7.05,5.525,Yes,0
7.65,0,3.825,1.9125,No,0
8.55,0,4.275,2.1375,No,0
8.55,0,4.275,2.1375,No,0
11.1,0,5.55,2.775,No,0
12.35,0,6.175,3.0875,No,1
13.9,21.8,17.85,19.825,Yes,1
9.8,2.4,6.1,4.25,Yes,1
8.7,1.2,4.95,3.075,Yes,0
8.8,0,4.4,2.2,No,0
10.95,0,5.475,2.7375,No,1
11.05,24.8,17.925,21.3625,Yes,1
9.25,3.2,6.225,4.7125,Yes,0
10.4,0,5.2,2.6,No,0
12.35,0.4,6.375,3.3875,No,0
12.4,0,6.2,3.1,No,0
9.55,0,4.775,2.3875,No,0
10.45,0,5.225,2.6125,No,0
9.3,0.2,4.75,2.475,No,0
8.6,0,4.3,2.15,No,0
10.75,0,5.375,2.6875,No,0
12.3,0,6.15,3.075,No,0
12.8,0,6.4,3.2,No,0
11.4,0,5.7,2.85,No,0
12.65,0,6.325,3.1625,No,0
13.25,0,6.625,3.3125,No,0
10,0,5,2.5,No,0
9,0,4.5,2.25,No,0
12.95,0,6.475,3.2375,No,0
15.2,0,7.6,3.8,No,0
15.7,0,7.85,3.925,No,0
18,0,9,4.5,No,1
11.6,0,5.8,2.9,No,0
13.1,0,6.55,3.275,No,0
15.7,0,7.85,3.925,No,0
15.65,0,7.825,3.9125,No,0
17.2,0.8,9,4.9,No,1
16.35,11.4,13.875,12.6375,Yes,1
15.9,19,17.45,18.225,Yes,1
16.2,22.2,19.2,20.7,Yes,1
8.8,32.8,20.8,26.8,Yes,0
10.85,0,5.425,2.7125,No,0
13.3,0,6.65,3.325,No,0
11.9,0,5.95,2.975,No,0
13.75,0,6.875,3.4375,No,0
15.65,0,7.825,3.9125,No,0
17.65,0,8.825,4.4125,No,0
16.9,0.4,8.65,4.525,No,1
15.2,2.4,8.8,5.6,Yes,0
16.55,0,8.275,4.1375,No,0
16.2,0,8.1,4.05,No,0
17.95,0,8.975,4.4875,No,1
17.75,3.4,10.575,6.9875,Yes,1
16.25,50.8,33.525,42.1625,Yes,1
14.45,0,7.225,3.6125,No,0
16.05,0,8.025,4.0125,No,0
16.9,0,8.45,4.225,No,1
19.7,2.2,10.95,6.575,Yes,0
22.85,0.6,11.725,6.1625,No,0
20.9,52.6,36.75,44.675,Yes,1
19.5,2.4,10.95,6.675,Yes,0
16.1,0,8.05,4.025,No,0
16.05,0,8.025,4.0125,No,0
16.95,0,8.475,4.2375,No,0
18.8,0,9.4,4.7,No,0
19.65,0,9.825,4.9125,No,0
21.2,0,10.6,5.3,No,0
22.3,0,11.15,5.575,No,0
24.1,0,12.05,6.025,No,0
21.05,4,12.525,8.2625,Yes,1
21.2,19.2,20.2,19.7,Yes,1
19.6,18.8,19.2,19,Yes,1
18.1,14.8,16.45,15.625,Yes,1
18.85,1.6,10.225,5.9125,Yes,1
21.5,18.4,19.95,19.175,Yes,1
23.6,1.2,12.4,6.8,Yes,0
24.1,0,12.05,6.025,No,0
24.65,0,12.325,6.1625,No,0
25,3.2,14.1,8.65,Yes,1
22.35,25.6,23.975,24.7875,Yes,0
18.6,0,9.3,4.65,No,0
18.35,0,9.175,4.5875,No,0
21.25,0,10.625,5.3125,No,0
23.6,0,11.8,5.9,No,0
20.35,0.4,10.375,5.3875,No,0
17.4,1,9.2,5.1,No,1
14.2,3,8.6,5.8,Yes,1
14.55,6.2,10.375,8.2875,Yes,1
15.55,1.6,8.575,5.0875,Yes,0
17.65,0,8.825,4.4125,No,0
20.75,0,10.375,5.1875,No,0
22.35,0,11.175,5.5875,No,0
23.75,1,12.375,6.6875,No,0
16.75,0,8.375,4.1875,No,0
26.9,0,13.45,6.725,No,0
25.6,0.6,13.1,6.85,No,0
21.5,0,10.75,5.375,No,0
21.55,0,10.775,5.3875,No,0
22.45,0,11.225,5.6125,No,0
24.05,0,12.025,6.0125,No,0
23.4,0,11.7,5.85,No,0
24.9,0,12.45,6.225,No,0
26.55,0,13.275,6.6375,No,1
24,1.4,12.7,7.05,Yes,1
25.2,5,15.1,10.05,Yes,1
24.75,2.4,13.575,7.9875,Yes,1
25.65,13.8,19.725,16.7625,Yes,0
26.1,0,13.05,6.525,No,0
23.35,0,11.675,5.8375,No,0
21.1,0,10.55,5.275,No,0
24,0,12,6,No,0
26.05,0,13.025,6.5125,No,0
25.2,0,12.6,6.3,No,0
27.75,0,13.875,6.9375,No,0
22.95,0,11.475,5.7375,No,0
26.05,0,13.025,6.5125,No,0
29.05,0,14.525,7.2625,No,0
28.95,3.4,16.175,9.7875,Yes,1
21.7,99.2,60.45,79.825,Yes,1
18.1,51,34.55,42.775,Yes,0
20.35,0,10.175,5.0875,No,0
22.2,0,11.1,5.55,No,0
23.35,0,11.675,5.8375,No,1
22.3,39.8,31.05,35.425,Yes,1
23.6,28.2,25.9,27.05,Yes,0
21.85,0,10.925,5.4625,No,0
21.85,0,10.925,5.4625,No,0
24.05,5.8,14.925,10.3625,Yes,0
25.35,12.2,18.775,15.4875,Yes,1
21.2,12.8,17,14.9,Yes,0
16.3,0,8.15,4.075,No,0
20.3,0.2,10.25,5.225,No,0
21.55,0,10.775,5.3875,No,0
23.15,0,11.575,5.7875,No,0
23.25,0,11.625,5.8125,No,0
22.2,0.2,11.2,5.7,No,1
19.4,0,9.7,4.85,No,0
16.1,0,8.05,4.025,No,0
15.35,0,7.675,3.8375,No,0
15.35,0,7.675,3.8375,No,0
18.25,0,9.125,4.5625,No,0
17.45,0,8.725,4.3625,No,0
20.05,0,10.025,5.0125,No,0
21.9,0,10.95,5.475,No,1
21.9,10.2,16.05,13.125,Yes,0
22.7,0.6,11.65,6.125,No,0
24.45,0.6,12.525,6.5625,No,1
22.55,19.8,21.175,20.4875,Yes,0
22.35,0.2,11.275,5.7375,No,0
22.65,0.4,11.525,5.9625,No,0
19,0.2,9.6,4.9,No,0
19.55,0,9.775,4.8875,No,0
22.05,0,11.025,5.5125,No,0
22.7,0,11.35,5.675,No,0
18.2,0,9.1,4.55,No,1
17.7,0,8.85,4.425,No,0
16.9,0,8.45,4.225,No,0
16.4,0,8.2,4.1,No,0
17.45,0,8.725,4.3625,No,0
18.6,0,9.3,4.65,No,0
19.05,0,9.525,4.7625,No,0
14.55,0,7.275,3.6375,No,0
17.3,0,8.65,4.325,No,0
15.45,0,7.725,3.8625,No,0
12.85,0.6,6.725,3.6625,No,0
9.8,0,4.9,2.45,No,0
9.45,0,4.725,2.3625,No,0
8.15,0,4.075,2.0375,No,1
7,3.6,5.3,4.45,Yes,0
8.95,5,6.975,5.9875,Yes,1
6.5,0,3.25,1.625,No,0
6,0,3,1.5,No,0
8.15,0,4.075,2.0375,No,0
10.1,0,5.05,2.525,No,0
9.35,0,4.675,2.3375,No,0
11.55,0,5.775,2.8875,No,0
11.9,0,5.95,2.975,No,0
13.9,0,6.95,3.475,No,1
12.6,17.4,15,16.2,Yes,1
8.9,0,4.45,2.225,No,0
8.1,0,4.05,2.025,No,0
7.85,0,3.925,1.9625,No,0
8.25,0,4.125,2.0625,No,0
8.65,0,4.325,2.1625,No,0
11.1,0,5.55,2.775,No,0
11.45,0,5.725,2.8625,No,0
10.25,0,5.125,2.5625,No,0
11.3,0,5.65,2.825,No,1
11.65,8.8,10.225,9.5125,Yes,0
7.1,0,3.55,1.775,No,1
8.85,2,5.425,3.7125,Yes,0
4.65,0,2.325,1.1625,No,1
5.85,2.6,4.225,3.4125,Yes,0
6.25,0,3.125,1.5625,No,0
8.55,0.2,4.375,2.2875,No,0
7.8,0,3.9,1.95,No,0
9.2,0,4.6,2.3,No,0
8.7,0,4.35,2.175,No,0
7.8,1,4.4,2.7,No,0
9.1,0.2,4.65,2.425,No,0
7.55,0,3.775,1.8875,No,1
9.1,10.6,9.85,10.225,Yes,0
8.5,0.6,4.55,2.575,No,1
8,0,4,2,No,0
10.5,0.4,5.45,2.925,No,0
9.45,0,4.725,2.3625,No,0
8.65,0,4.325,2.1625,No,0
7.5,0,3.75,1.875,No,0
8.75,0,4.375,2.1875,No,0
7.75,0,3.875,1.9375,No,0
7.2,0,3.6,1.8,No,0
7.7,0,3.85,1.925,No,0
8.85,0,4.425,2.2125,No,1
10.55,15.4,12.975,14.1875,Yes,1
9.05,3.8,6.425,5.1125,Yes,1
8.9,1.2,5.05,3.125,Yes,1
9,4.4,6.7,5.55,Yes,0
3.9,0,1.95,0.975,No,1
6.75,4.2,5.475,4.8375,Yes,0
8.7,0,4.35,2.175,No,1
8.25,6.6,7.425,7.0125,Yes,0
8.1,0,4.05,2.025,No,0
6.15,4,5.075,4.5375,Yes,0
5.25,0,2.625,1.3125,No,0
8.2,0,4.1,2.05,No,1
9.7,8.8,9.25,9.025,Yes,1
7.45,1.8,4.625,3.2125,Yes,0
11.25,0,5.625,2.8125,No,0
5.45,0.2,2.825,1.5125,No,1
9.35,16.2,12.775,14.4875,Yes,1
9.1,2.2,5.65,3.925,Yes,0
7.5,0,3.75,1.875,No,0
6.65,0,3.325,1.6625,No,0
8.35,0.2,4.275,2.2375,No,0
9.8,1,5.4,3.2,No,0
11.2,0,5.6,2.8,No,0
13.55,0,6.775,3.3875,No,0
12.7,0.2,6.45,3.325,No,0
15,0,7.5,3.75,No,0
13.15,0,6.575,3.2875,No,1
8.2,4.2,6.2,5.2,Yes,1
9.7,8.2,8.95,8.575,Yes,1
6.6,1.2,3.9,2.55,Yes,1
10.1,2.8,6.45,4.625,Yes,0
7.05,0,3.525,1.7625,No,0
10.8,0,5.4,2.7,No,1
8.85,1.2,5.025,3.1125,Yes,0
9.1,30.8,19.95,25.375,Yes,0
13.1,0.8,6.95,3.875,No,0
10.05,0,5.025,2.5125,No,0
9.75,0,4.875,2.4375,No,0
11.6,0,5.8,2.9,No,0
9.25,0,4.625,2.3125,No,0
8.8,0,4.4,2.2,No,0
8.3,0,4.15,2.075,No,0
8.65,0,4.325,2.1625,No,0
8.1,0,4.05,2.025,No,0
10.45,0,5.225,2.6125,No,0
11.1,0,5.55,2.775,No,0
11.65,0,5.825,2.9125,No,1
13.1,3.2,8.15,5.675,Yes,1
14.8,5,9.9,7.45,Yes,0
8.15,0,4.075,2.0375,No,0
8.35,0,4.175,2.0875,No,0
9.45,0,4.725,2.3625,No,0
14.7,0,7.35,3.675,No,0
16,0,8,4,No,0
9.95,3.6,6.775,5.1875,Yes,0
13.25,0,6.625,3.3125,No,0
14.2,0,7.1,3.55,No,0
